iter	Logloss	Accuracy
0	0.6130999062	0.8744313219
1	0.5452469728	0.8779630122
2	0.4946738535	0.8797174648
3	0.4528190136	0.8805453234
4	0.4217158118	0.8808567197
5	0.397406107	0.881388372
6	0.3783179446	0.8814643223
7	0.3604611044	0.8809554551
8	0.3474252613	0.8816314131
9	0.3357299648	0.8817833137
10	0.3235034019	0.8819807846
11	0.3148828929	0.8824592716
12	0.3064643581	0.8826263624
13	0.3010448204	0.8826187673
14	0.2957873328	0.8827175028
15	0.2918458684	0.8831352296
16	0.2870550339	0.8835757415
17	0.2825444177	0.8837959974
18	0.2796153172	0.8838795428
19	0.2764275833	0.883932708
20	0.2743338199	0.8842972696
21	0.2724212378	0.8844567653
22	0.2706262504	0.8844795504
23	0.2678828409	0.8845782858
24	0.2667571567	0.8849352523
25	0.2656791409	0.8852770288
26	0.2648434389	0.8852162686
27	0.2631763832	0.885542855
28	0.2621038872	0.88555045
29	0.2610145931	0.8856491854
30	0.2599719051	0.8858238712
31	0.2586570095	0.8859226066
32	0.2581684918	0.8862036228
33	0.2575601369	0.8862264079
34	0.2565482401	0.8862795732
35	0.2560468339	0.8864010937
36	0.2556444239	0.8864238788
37	0.2548019297	0.8866669198
38	0.2540588257	0.8866593248
39	0.2537345591	0.8867352751
40	0.2533716566	0.8866973
41	0.2528705061	0.8868947708
42	0.2524685945	0.886940341
43	0.2520494108	0.8871226218
44	0.2517071541	0.887175787
45	0.2513715001	0.8872821175
46	0.2511233279	0.8873352827
47	0.2508271186	0.8876162989
48	0.2505627881	0.8875631337
49	0.2504135308	0.8876466791
50	0.2502484736	0.8876694642
51	0.2500362179	0.8877681996
52	0.2498793958	0.8877985797
53	0.2497343509	0.8879884556
54	0.2495222048	0.8880720009
55	0.2493999442	0.8881707363
56	0.2492705829	0.8881707363
57	0.2490457689	0.8882694718
58	0.2488794227	0.8881783314
59	0.2487294559	0.8881859264
60	0.248599177	0.8882998519
61	0.2483986111	0.8883682072
62	0.2483010851	0.8885049178
63	0.2481305592	0.8884593476
64	0.247773125	0.8884669426
65	0.2475962576	0.8884593476
66	0.2474370706	0.8885352979
67	0.2473271923	0.8885428929
68	0.2472124965	0.8886112482
69	0.2471539215	0.8885428929
70	0.2470410679	0.888550488
71	0.2468753904	0.8886644135
72	0.2466931126	0.8886871986
73	0.246618494	0.8887555539
74	0.2464407124	0.8886036532
75	0.2463333711	0.8887099837
76	0.2462539937	0.8886644135
77	0.2461299848	0.8887631489
78	0.2460041787	0.8888163141
79	0.2458940568	0.8888618843
80	0.245777211	0.8888239092
81	0.2457102948	0.8888846694
82	0.2456193092	0.8888770744
83	0.2455558975	0.8889226446
84	0.2454775671	0.8889454297
85	0.2454148397	0.8889378347
86	0.2453261164	0.889013785
87	0.2452740749	0.8890517601
88	0.2451869568	0.8890973303
89	0.2451161588	0.8891884707
90	0.2450293973	0.8891808757
91	0.2449125764	0.8892264459
92	0.2448430351	0.8893479664
93	0.2446703762	0.8893783466
94	0.2445930866	0.8894467019
95	0.2444459045	0.8895150572
96	0.2443512244	0.8895682224
97	0.2442198297	0.8896061975
98	0.2441825611	0.8896365777
99	0.2440891232	0.8895454373
100	0.2440175222	0.8895758174
101	0.2439694857	0.8895454373
102	0.243876446	0.8896669578
103	0.243833742	0.8896517677
104	0.2437502368	0.8896897429
105	0.2437153688	0.8896745528
106	0.2436508622	0.8897732883
107	0.2435432955	0.8897656932
108	0.2434447182	0.8897960734
109	0.2434055382	0.8898112634
110	0.2433420693	0.8898264535
111	0.2432874678	0.8898948088
112	0.2432082817	0.8898948088
113	0.2431688808	0.8899099989
114	0.2431334563	0.889932784
115	0.2430800431	0.889940379
116	0.2430458288	0.8899175939
117	0.24299718	0.8898568336
118	0.2429037953	0.8898948088
119	0.2428568009	0.8899935442
120	0.2428180422	0.8900391144
121	0.2427468726	0.8899783542
122	0.2426786665	0.8900087343
123	0.2425961476	0.8900011393
124	0.2425403032	0.8900163293
125	0.2424709781	0.8900846846
126	0.242427684	0.8901454449
127	0.2423693916	0.8901454449
128	0.2423203724	0.890175825
129	0.2422228095	0.8901986101
130	0.2421632047	0.8902821555
131	0.2420853255	0.8902973455
132	0.2420213966	0.8902973455
133	0.2419359066	0.8903581058
134	0.2418836589	0.8904264611
135	0.2418347822	0.8904568412
136	0.2417957593	0.8904264611
137	0.2417028375	0.890403676
138	0.2416671763	0.8904340561
139	0.2416292106	0.8904720313
140	0.2415452009	0.8905327916
141	0.241503539	0.8905631717
142	0.2414630202	0.8905327916
143	0.241398657	0.8906163369
144	0.2413303643	0.8906695021
145	0.241306231	0.8906922872
146	0.241273535	0.8906922872
147	0.2412198311	0.890646717
148	0.2411737895	0.8907074773
149	0.2411364544	0.8907378574
150	0.2410998727	0.8907758326
151	0.2410470229	0.8907302624
152	0.2410053736	0.8906922872
153	0.2409643102	0.8907378574
154	0.240927182	0.8907682376
155	0.2408913418	0.8907910227
156	0.2408291694	0.890859378
