iter	Logloss	Accuracy
0	0.5540823036	0.8745197205
1	0.4613094173	0.8775130904
2	0.3929816792	0.8779687975
3	0.3573075082	0.8808638776
4	0.3358312898	0.8819093232
5	0.3189784784	0.8829815751
6	0.3055564792	0.8830441232
7	0.2939957224	0.8837857641
8	0.2868408106	0.8842325357
9	0.2793132659	0.8843397609
10	0.27281728	0.8847418554
11	0.2696047587	0.8854120128
12	0.265221588	0.8856711403
13	0.2630467868	0.8858230427
14	0.2614883337	0.8861536537
15	0.2582342356	0.8863144915
16	0.2572791733	0.8865468127
17	0.2555692276	0.8867076505
18	0.2535779257	0.8869131655
19	0.2522479921	0.8870025198
20	0.2516375124	0.8874671623
21	0.2510568995	0.887377808
22	0.2504671359	0.8876637418
23	0.2500319179	0.8877441607
24	0.249494947	0.8880479654
25	0.2491806411	0.8881730615
26	0.2487661764	0.8883785764
27	0.2482763787	0.8886287685
28	0.2479084074	0.8886108977
29	0.2475864764	0.8888074772
30	0.2473095638	0.8889325732
31	0.2471134367	0.8890576693
32	0.246801802	0.889093411
33	0.2465537501	0.8891112819
34	0.2463502676	0.8890755401
35	0.2459656253	0.8891112819
36	0.2457951443	0.8893525386
37	0.2456083803	0.8893882803
38	0.2453647725	0.8895133763
39	0.2452633075	0.8893793449
40	0.2449208434	0.8896474078
41	0.2448277796	0.8896652787
42	0.2446574356	0.8898082456
43	0.2444890869	0.8896831496
44	0.2443052597	0.889692085
45	0.2440810532	0.8898261165
46	0.2439739587	0.8898707936
47	0.2438170921	0.8898975999
48	0.2437006304	0.8900405669
49	0.2435629655	0.8900941795
50	0.2433208273	0.8901299212
51	0.2430862896	0.8902371464
52	0.2427113393	0.8904069196
53	0.2426109992	0.8903890487
54	0.2425173728	0.8903265007
55	0.242444307	0.8903265007
56	0.2422943153	0.8903175653
57	0.2421101246	0.8904784031
58	0.242020828	0.8904515968
59	0.2418835909	0.8905230802
60	0.2417489768	0.8905766928
61	0.2416436621	0.8905409511
62	0.2415378991	0.8906124345
63	0.2414850876	0.8907375306
64	0.2414130321	0.8908447558
65	0.2413036025	0.8907196597
66	0.2412190984	0.8906660471
67	0.2410566854	0.8907285952
68	0.2409748951	0.8909162393
69	0.2409241072	0.8909162393
70	0.2407373049	0.8909787873
71	0.2406680667	0.8910949479
72	0.2404948914	0.8911932377
73	0.2404145092	0.8911485605
74	0.2402049001	0.89134514
75	0.2401471563	0.8914166235
76	0.2400311675	0.8915327841
77	0.2399201035	0.8915327841
78	0.2398789617	0.8916310739
79	0.2398129737	0.8916221384
80	0.2396891889	0.8917025573
81	0.2396165163	0.8917204282
82	0.2394839097	0.8918455242
83	0.2392908116	0.8920331683
84	0.2391852872	0.8920778455
85	0.2391365631	0.8921493289
86	0.239074994	0.8922208124
87	0.2389678543	0.8921582644
88	0.2388711978	0.8922208124
89	0.2388099417	0.8921493289
90	0.238659455	0.8922565541
91	0.2385427168	0.8924173919
92	0.2384884765	0.8924441982
93	0.2384250356	0.8924084565
94	0.2383656061	0.892542488
95	0.2383040111	0.892667584
96	0.2381308361	0.892810551
97	0.2380166735	0.8928284218
98	0.2379376044	0.892810551
99	0.2378688352	0.8927926801
100	0.2377635618	0.8928909699
101	0.2376827767	0.8929535179
102	0.2375825636	0.8929267116
103	0.2375157462	0.892998195
104	0.2374446345	0.8931500974
105	0.2373444088	0.893141162
106	0.2372433583	0.8931143557
107	0.2371180877	0.8931232911
108	0.2370084647	0.8931769037
109	0.2369485211	0.8932394517
110	0.2368607221	0.893328806
111	0.2368094721	0.8933734832
112	0.2367036504	0.8934985793
113	0.2365556902	0.8937040942
114	0.2364555587	0.8937487714
115	0.2363549296	0.8938113194
116	0.2362733998	0.8939364155
117	0.2362292132	0.8939632218
118	0.2361653628	0.8940078989
119	0.2361083002	0.8939453509
120	0.236030324	0.8940168344
121	0.2359245827	0.8941419304
122	0.2358600617	0.8942759619
123	0.2357788508	0.8943474454
124	0.2356913154	0.8943653162
125	0.2356458337	0.8943921225
126	0.2355768676	0.8944725414
127	0.2354772861	0.8944367997
128	0.2353875016	0.894588702
129	0.2353160465	0.8945797666
130	0.2352520704	0.8945708312
131	0.2351616536	0.8946601855
132	0.2350867439	0.894794217
133	0.2350326831	0.8948746359
134	0.2349704296	0.8949014422
135	0.2348828257	0.8949103776
136	0.2348211351	0.8949371839
137	0.2347383056	0.8949103776
138	0.2346675737	0.8949461193
139	0.2345715341	0.8949907965
140	0.2345361491	0.8950265382
141	0.2344998383	0.8950801508
142	0.2344645938	0.8950176028
143	0.2343732043	0.8950086674
144	0.2343035173	0.8950980217
145	0.2342219968	0.8951516343
146	0.2341523422	0.8953124721
147	0.2340892882	0.8953303429
148	0.2339627463	0.8954822453
149	0.2339133891	0.8954465036
150	0.2338736333	0.8955269225
151	0.2338239643	0.8954911807
152	0.2337443172	0.8955358579
153	0.2336637259	0.8955715996
154	0.2336033614	0.8955358579
155	0.2335147327	0.8955805351
156	0.2334210593	0.8955537288
157	0.2332851245	0.8957056311
158	0.2332035193	0.8957592437
159	0.2331601081	0.8957056311
160	0.233076695	0.895848598
161	0.2329973373	0.8959111461
162	0.2329457625	0.8959468878
163	0.2329024212	0.8959290169
164	0.2328554877	0.8959647587
165	0.2327844308	0.8960273067
166	0.2327324811	0.8960273067
167	0.232678452	0.8961077256
168	0.2326416507	0.8961077256
169	0.2325455511	0.8962596279
170	0.2324978587	0.8963043051
171	0.2324350232	0.8962685634
172	0.2323715402	0.8963132405
173	0.2323112325	0.8964383366
174	0.2322534822	0.8964830137
175	0.2321920638	0.8964740783
176	0.2321159409	0.8965008846
177	0.2320638611	0.8965544972
178	0.2319959846	0.8965723681
179	0.2319561483	0.8965902389
180	0.2319006149	0.8965723681
181	0.231794396	0.8966706578
182	0.2317249368	0.8966974641
183	0.2316728921	0.8967421413
184	0.2316132501	0.8967600122
185	0.231551802	0.8968314956
186	0.2315052951	0.8967510767
187	0.2314600291	0.8967421413
188	0.2313890393	0.8967868184
189	0.2313334938	0.896777883
190	0.2312828943	0.8967689476
191	0.2311869746	0.8967957539
192	0.231158587	0.896777883
193	0.23111428	0.8968046893
194	0.231041944	0.8969029791
195	0.2309885289	0.8969655271
196	0.2309595658	0.8968851082
197	0.2309104321	0.8969476562
198	0.230826667	0.8969387208
199	0.2307799249	0.8969208499
200	0.2307576141	0.8969208499
201	0.230707839	0.8970638169
202	0.2306378376	0.8971442358
203	0.2305603845	0.8972425255
204	0.2305087213	0.8972335901
205	0.230426918	0.8973676216
206	0.230350175	0.8973586861
207	0.2302909297	0.8973586861
208	0.2302326896	0.8974033633
209	0.230150914	0.8974927176
210	0.2300996147	0.8974927176
211	0.2300469907	0.8975195239
212	0.2299797477	0.8975373948
213	0.2299435767	0.8975642011
214	0.2298963921	0.8975731365
215	0.2298537117	0.89764462
216	0.2298219656	0.8975910074
217	0.2297732225	0.8977250389
218	0.2297248793	0.897707168
219	0.2296535821	0.8977339743
220	0.2295994362	0.8977429097
221	0.2295557106	0.8977607806
222	0.2295013823	0.897707168
223	0.2294494359	0.8978054578
224	0.2293929143	0.897769716
225	0.2293463338	0.8978948121
226	0.2292339318	0.8980020373
227	0.2291654307	0.8979573601
228	0.2291010106	0.8980288436
229	0.2290620288	0.8981450042
230	0.2290273328	0.8981539396
231	0.2289783472	0.8982254231
232	0.2289220961	0.8982254231
233	0.2288422761	0.8982879711
234	0.2287757893	0.8981896814
235	0.2286922721	0.8982611648
236	0.2286538842	0.8982522294
237	0.2285265285	0.8983773254
238	0.2284940691	0.8983147774
239	0.2284549439	0.8982969066
240	0.2283626745	0.8984488089
241	0.2283035997	0.8985202924
242	0.2282713517	0.8985202924
243	0.2282231068	0.8985470987
244	0.2281666351	0.8986275176
245	0.2281140952	0.8986007113
246	0.2280637548	0.8986275176
247	0.2280328788	0.8986900656
248	0.2279687526	0.8987347427
249	0.2279408054	0.8987347427
250	0.2279157303	0.8987526136
251	0.2278548813	0.8988240971
252	0.2277987341	0.8988598388
253	0.2277623423	0.8988866451
254	0.2277279829	0.8988509034
255	0.2276858436	0.8987883553
256	0.2276054018	0.8988062262
257	0.2275501568	0.8987883553
258	0.2274723625	0.8988687742
259	0.2274106025	0.8988866451
260	0.227371906	0.8989402577
261	0.2273170469	0.8989491931
262	0.2272462	0.8990832246
263	0.2272027588	0.8990742892
264	0.2271477899	0.8990385475
265	0.2271048349	0.8991100309
266	0.2270505187	0.8991457726
267	0.2270027969	0.8992529978
268	0.226964434	0.899235127
269	0.2269230004	0.8992798041
270	0.2268907291	0.8993334167
271	0.2268511421	0.8993959648
272	0.2267745462	0.8994317065
273	0.2266920102	0.8995121254
274	0.2266018519	0.8994853191
275	0.2265501421	0.8994763837
276	0.2264797133	0.8994495774
277	0.2264429504	0.8995210608
278	0.2263885727	0.8995121254
279	0.226356839	0.8995389317
280	0.2263207215	0.8995031899
281	0.2262754238	0.8995478671
282	0.226239515	0.899565738
283	0.2261795444	0.8996640277
284	0.2261420966	0.8996997695
285	0.2260736589	0.8997176403
286	0.2259985125	0.8997533821
287	0.2259490316	0.8997444466
288	0.2258727068	0.8997444466
289	0.2258328248	0.8998159301
290	0.2257830793	0.8998159301
291	0.2257493769	0.8997712529
292	0.2257170072	0.8997801884
293	0.2256871082	0.8997801884
294	0.2256642385	0.8997891238
295	0.2255845099	0.8999320907
296	0.2255366863	0.8998784781
297	0.2254826696	0.899958897
298	0.2254327281	0.8999946387
299	0.2253918747	0.9000303805
300	0.2253019656	0.9001107994
301	0.2252580275	0.9001286702
302	0.2251909883	0.9001018639
303	0.2251471486	0.900164412
304	0.225089226	0.90022696
305	0.2250474815	0.9002537663
306	0.2250080979	0.9002537663
307	0.2249212458	0.9003252497
308	0.2248844931	0.9003341852
