iter	Passed	Remaining
0	25	25346
1	46	23218
2	66	22171
3	86	21493
4	107	21399
5	130	21587
6	152	21622
7	172	21393
8	192	21229
9	212	21047
10	233	20980
11	253	20877
12	274	20873
13	295	20842
14	316	20808
15	338	20815
16	359	20777
17	378	20649
18	399	20625
19	422	20708
20	446	20809
21	465	20681
22	480	20419
23	495	20162
24	510	19920
25	527	19763
26	543	19571
27	559	19428
28	576	19298
29	591	19122
30	606	18960
31	621	18809
32	645	18910
33	660	18761
34	676	18640
35	691	18517
36	707	18407
37	724	18335
38	738	18198
39	750	18019
40	762	17839
41	774	17675
42	787	17527
43	804	17475
44	820	17402
45	841	17452
46	860	17444
47	877	17401
48	893	17339
49	907	17247
50	922	17172
51	937	17090
52	960	17168
53	982	17205
54	1008	17321
55	1030	17370
56	1052	17414
57	1074	17451
58	1096	17487
59	1131	17725
60	1166	17950
61	1194	18069
62	1209	17991
63	1224	17906
64	1238	17821
65	1257	17797
66	1272	17715
67	1287	17649
68	1303	17581
69	1317	17502
70	1330	17412
71	1342	17305
72	1357	17235
73	1372	17171
74	1387	17111
75	1402	17049
76	1417	16987
77	1432	16930
78	1453	16945
79	1476	16975
80	1497	16989
81	1519	17016
82	1536	16970
83	1551	16921
84	1563	16835
85	1575	16742
86	1587	16659
87	1602	16604
88	1615	16532
89	1627	16456
90	1642	16403
91	1654	16326
92	1668	16276
93	1685	16244
94	1707	16270
95	1729	16284
96	1741	16208
97	1753	16141
98	1767	16087
99	1779	16016
100	1791	15942
101	1807	15909
102	1819	15843
103	1830	15771
104	1843	15709
105	1855	15647
106	1867	15583
107	1880	15531
108	1892	15470
109	1903	15403
110	1915	15341
111	1926	15276
112	1948	15296
113	1959	15232
114	1972	15176
115	1983	15115
116	1995	15059
117	2007	15005
118	2018	14945
119	2032	14901
120	2046	14864
121	2061	14832
122	2073	14781
123	2086	14738
124	2100	14701
125	2113	14662
126	2127	14626
127	2140	14581
128	2153	14539
129	2166	14499
130	2179	14460
131	2193	14422
132	2204	14370
133	2216	14324
134	2229	14287
135	2244	14258
136	2257	14223
137	2269	14176
138	2281	14131
139	2293	14086
140	2304	14038
141	2315	13989
142	2326	13945
143	2338	13902
144	2361	13923
145	2381	13932
146	2402	13939
147	2414	13902
148	2426	13861
149	2439	13821
150	2449	13774
151	2461	13731
152	2473	13693
153	2485	13652
154	2496	13612
155	2509	13576
156	2521	13537
157	2533	13500
158	2545	13464
159	2557	13426
160	2571	13400
161	2583	13366
162	2596	13334
163	2609	13304
164	2622	13268
165	2639	13259
166	2653	13236
167	2667	13210
168	2680	13178
169	2693	13149
170	2705	13114
171	2716	13078
172	2728	13041
173	2739	13005
174	2751	12969
175	2762	12932
176	2773	12896
177	2785	12863
178	2797	12829
179	2809	12798
180	2821	12769
181	2833	12736
182	2845	12703
183	2858	12674
184	2869	12641
185	2881	12609
186	2892	12574
187	2903	12542
188	2916	12514
189	2939	12530
190	2952	12507
191	2964	12477
192	2975	12442
193	2987	12412
194	3000	12386
195	3012	12355
196	3023	12325
197	3035	12294
198	3046	12263
199	3058	12235
200	3069	12202
201	3081	12172
202	3092	12141
203	3104	12114
204	3116	12085
205	3128	12060
206	3142	12036
207	3153	12007
208	3164	11977
209	3176	11950
210	3188	11922
211	3201	11898
212	3213	11872
213	3226	11851
214	3240	11833
215	3253	11807
216	3265	11782
217	3276	11754
218	3288	11729
219	3300	11703
220	3314	11682
221	3326	11657
222	3344	11652
223	3366	11661
224	3388	11670
225	3408	11672
226	3423	11656
227	3435	11633
228	3448	11611
229	3461	11588
230	3474	11565
231	3487	11544
232	3499	11519
233	3512	11497
234	3524	11473
235	3536	11449
236	3548	11423
237	3559	11395
238	3570	11369
239	3582	11345
240	3594	11321
241	3605	11293
242	3617	11270
243	3629	11245
244	3641	11221
245	3654	11200
246	3666	11176
247	3678	11152
248	3689	11128
249	3701	11104
250	3713	11080
251	3725	11059
252	3737	11036
253	3749	11012
254	3760	10987
255	3772	10962
256	3784	10940
257	3795	10916
258	3807	10892
259	3819	10871
260	3831	10848
261	3843	10825
262	3856	10806
263	3867	10783
264	3879	10759
265	3890	10736
266	3902	10714
267	3914	10691
268	3945	10722
269	3963	10716
270	3975	10693
271	3986	10669
272	3997	10646
273	4010	10625
274	4021	10602
275	4033	10580
276	4045	10559
277	4057	10538
278	4070	10518
279	4081	10494
280	4092	10470
281	4103	10448
282	4115	10426
283	4127	10406
284	4140	10386
285	4152	10366
286	4165	10347
287	4176	10325
288	4188	10304
289	4200	10283
290	4221	10284
291	4234	10268
292	4246	10246
293	4257	10223
294	4268	10201
295	4280	10180
296	4292	10159
297	4303	10137
298	4314	10116
299	4326	10094
300	4339	10077
301	4361	10080
302	4385	10088
303	4405	10085
304	4419	10069
305	4431	10049
306	4443	10029
307	4455	10010
308	4467	9990
309	4479	9969
310	4491	9951
311	4503	9929
312	4514	9909
313	4526	9888
314	4538	9869
315	4551	9852
316	4564	9833
317	4575	9813
318	4587	9793
319	4599	9773
320	4611	9755
321	4624	9737
322	4636	9718
323	4648	9698
324	4660	9678
325	4671	9659
326	4683	9638
327	4694	9617
328	4707	9600
329	4719	9582
330	4731	9563
331	4743	9543
332	4754	9523
333	4766	9504
334	4777	9484
335	4789	9465
336	4802	9447
337	4813	9427
338	4824	9407
339	4836	9389
340	4848	9369
341	4859	9350
342	4871	9331
343	4882	9311
344	4895	9294
345	4907	9276
346	4934	9285
347	4949	9274
348	4961	9254
349	4973	9237
350	4985	9218
351	4998	9201
352	5009	9181
353	5021	9163
354	5033	9145
355	5045	9127
356	5058	9110
357	5070	9092
358	5081	9073
359	5093	9055
360	5104	9036
361	5117	9019
362	5130	9002
363	5141	8983
364	5154	8966
365	5166	8950
366	5178	8931
367	5190	8914
368	5203	8897
369	5214	8878
370	5225	8859
371	5237	8841
372	5248	8822
373	5260	8805
374	5272	8786
375	5284	8770
376	5296	8752
377	5308	8735
378	5319	8716
379	5332	8699
380	5348	8689
381	5368	8685
382	5391	8685
383	5406	8673
384	5420	8658
385	5431	8640
386	5444	8623
387	5455	8605
388	5467	8587
389	5478	8568
390	5490	8551
391	5503	8535
392	5515	8518
393	5526	8499
394	5537	8482
395	5549	8464
396	5561	8446
397	5572	8428
398	5584	8411
399	5595	8393
400	5607	8376
401	5619	8359
402	5631	8342
403	5643	8326
404	5655	8308
405	5666	8290
406	5678	8273
407	5690	8256
408	5702	8240
409	5715	8225
410	5727	8207
411	5739	8191
412	5752	8176
413	5764	8159
414	5776	8143
415	5788	8125
416	5800	8109
417	5812	8093
418	5824	8075
419	5836	8059
420	5847	8042
421	5860	8026
422	5871	8009
423	5883	7993
424	5895	7976
425	5908	7960
426	5921	7945
427	5955	7959
428	5967	7942
429	5978	7925
430	5991	7909
431	6003	7892
432	6014	7875
433	6026	7859
434	6038	7842
435	6050	7826
436	6062	7810
437	6074	7794
438	6086	7778
439	6098	7761
440	6110	7746
441	6122	7728
442	6133	7712
443	6144	7694
444	6156	7678
445	6167	7661
446	6180	7646
447	6193	7631
448	6205	7615
449	6216	7598
450	6228	7582
451	6240	7565
452	6252	7549
453	6263	7532
454	6274	7515
455	6286	7499
456	6298	7483
457	6310	7467
458	6321	7451
459	6333	7434
460	6347	7421
461	6368	7416
462	6390	7411
463	6410	7405
464	6423	7391
465	6435	7374
466	6448	7359
467	6459	7342
468	6471	7327
469	6485	7313
470	6497	7297
471	6509	7281
472	6521	7265
473	6532	7249
474	6544	7233
475	6556	7217
476	6568	7201
477	6580	7186
478	6592	7170
479	6604	7154
480	6616	7139
481	6629	7125
482	6643	7110
483	6657	7097
484	6670	7083
485	6683	7068
486	6697	7054
487	6710	7040
488	6723	7025
489	6736	7011
