iter	Logloss	Accuracy
0	0.6095857817	0.8567971653
1	0.5518660411	0.8578918561
2	0.5044920669	0.8567683577
3	0.4704831521	0.8572868954
4	0.4452054486	0.8582951632
5	0.4261335617	0.8595626999
6	0.4113777239	0.8595626999
7	0.3996323746	0.8602828911
8	0.3905819309	0.8605709676
9	0.3830419811	0.86054216
10	0.377110624	0.8607150059
11	0.3720226627	0.8615216201
12	0.368967494	0.8612911589
13	0.3658396755	0.8614928125
14	0.3638426034	0.8617520814
15	0.3619737312	0.8616368507
16	0.3598599182	0.8619249273
17	0.3584739529	0.8624722726
18	0.3570795062	0.8625010803
19	0.3557618378	0.8624722726
20	0.354737187	0.8627603491
21	0.3538149061	0.8629620027
22	0.352935468	0.8632212716
23	0.3520401774	0.8634805404
24	0.3511019184	0.8637398093
25	0.3505413911	0.8639414629
26	0.3499677155	0.8637398093
27	0.3495179905	0.8638838475
28	0.3489992632	0.8640855011
29	0.3484639771	0.8642007317
30	0.3480600684	0.8643159623
31	0.3477626536	0.8645176159
32	0.3474162142	0.8648056924
33	0.3470565971	0.8651801919
34	0.3466674014	0.8652089995
35	0.3462232327	0.8654394607
36	0.3457836728	0.8655258837
37	0.3454717864	0.865583499
38	0.3451987908	0.8657851525
39	0.3448757201	0.8659003831
40	0.3443882295	0.8658715755
41	0.3442311579	0.8661020367
42	0.3440596053	0.8661020367
43	0.343852959	0.8659291908
44	0.3436308002	0.8658715755
45	0.3434777497	0.8658715755
46	0.3431661864	0.8659868061
47	0.3430240465	0.866159652
48	0.3428645874	0.8664477285
49	0.3427549812	0.8665629591
50	0.3426308646	0.866735805
51	0.3425187004	0.8667646127
52	0.3423576611	0.866822228
53	0.3421204615	0.8669086509
54	0.3419188623	0.8669662662
55	0.3417399591	0.8671391121
56	0.3415773511	0.8671391121
57	0.3413905711	0.8672543428
58	0.3412598907	0.8672831504
59	0.3410899706	0.8672255351
60	0.3409023511	0.867398381
61	0.3407443368	0.8672543428
62	0.340657787	0.8672543428
63	0.3405556517	0.8672543428
64	0.3403893489	0.8672831504
65	0.3403023535	0.8673407657
66	0.3402075684	0.8675424193
67	0.3400752215	0.8676288422
68	0.3399032034	0.8676864575
69	0.3397050556	0.8678593034
70	0.3395211661	0.8678593034
71	0.3394247317	0.8679457264
72	0.339251233	0.8678304958
73	0.339177546	0.8678304958
74	0.3390608188	0.8679169187
75	0.3389364618	0.8680321493
76	0.3387574192	0.8680033417
77	0.3386640734	0.8681761876
78	0.3385198964	0.8681761876
79	0.3383137371	0.8683202259
80	0.3381927648	0.8683202259
81	0.3380942551	0.8684354565
82	0.337939583	0.8683490335
83	0.3377263541	0.8686947253
84	0.3375299472	0.8685794947
85	0.3374201289	0.8686659177
86	0.3372604053	0.8688387636
87	0.3371835326	0.8687811483
88	0.3369878567	0.8689251865
89	0.3367842404	0.8688963789
90	0.3366352335	0.8689828018
91	0.3364778367	0.8691268401
92	0.3364770329	0.8691556477
93	0.3363670553	0.8691844554
94	0.336322363	0.869213263
95	0.3362382478	0.8692420707
96	0.3360461841	0.8691844554
97	0.3359422428	0.869386109
98	0.3359193866	0.8693284936
99	0.3357585266	0.8693573013
100	0.3357060245	0.8694437243
101	0.3354731217	0.8693573013
102	0.3353868713	0.8694725319
103	0.3351422972	0.8698182237
104	0.3350189698	0.8698470314
105	0.3348948359	0.8697606084
106	0.3347832183	0.8699046467
107	0.3345624275	0.8699334543
108	0.3344390545	0.8699910696
109	0.3343366258	0.8701063002
110	0.3342168494	0.8700774926
111	0.3340329878	0.8702791461
112	0.3336669527	0.8704807997
113	0.3336193103	0.870451992
114	0.3335778566	0.870538415
115	0.3334308945	0.8707976839
116	0.3333761326	0.8706536456
117	0.3332359155	0.8708264915
118	0.3330627901	0.8709993374
119	0.3329468527	0.8710569527
120	0.3328404507	0.8711433757
121	0.3326647818	0.8714890675
122	0.3325608866	0.8714602598
123	0.3324773296	0.871777144
124	0.3323088864	0.8720364129
125	0.3321146774	0.8720652205
126	0.331962537	0.8720940282
127	0.3317899191	0.8720652205
128	0.331609417	0.8721516435
129	0.3316092559	0.8721228358
130	0.3315413374	0.8722668741
131	0.3315411933	0.8722380664
132	0.3314571757	0.8722668741
133	0.3313885195	0.8723244894
134	0.3312791273	0.8726413735
135	0.3310024501	0.8723821047
136	0.3309425796	0.87243972
137	0.3306887027	0.87243972
138	0.3305742017	0.8724973353
139	0.3304933955	0.8727566042
140	0.3303783013	0.8728142195
141	0.3301215777	0.873102296
142	0.3299736396	0.8730446807
143	0.329899888	0.873015873
144	0.3297256155	0.8729582577
