iter	Passed	Remaining
0	65	65092
1	116	57929
2	164	54611
3	211	52719
4	257	51270
5	303	50300
6	350	49722
7	398	49380
8	445	49065
9	523	51861
10	578	52050
11	599	49377
12	619	47052
13	640	45096
14	660	43385
15	681	41897
16	701	40535
17	720	39334
18	741	38291
19	761	37335
20	781	36445
21	802	35671
22	823	34982
23	846	34430
24	866	33785
25	885	33172
26	905	32621
27	924	32095
28	944	31632
29	964	31172
30	985	30814
31	1032	31244
32	1078	31605
33	1123	31931
34	1162	32049
35	1184	31712
36	1209	31482
37	1229	31123
38	1249	30789
39	1269	30456
40	1289	30151
41	1311	29906
42	1331	29643
43	1351	29368
44	1371	29098
45	1390	28844
46	1411	28620
47	1431	28387
48	1451	28163
49	1470	27934
50	1501	27938
51	1544	28158
52	1583	28297
53	1604	28111
54	1625	27925
55	1645	27733
56	1665	27550
57	1685	27368
58	1705	27196
59	1724	27023
60	1744	26856
61	1764	26693
62	1784	26539
63	1803	26382
64	1823	26234
65	1842	26080
66	1867	26009
67	1887	25864
68	1909	25759
69	1929	25631
70	1948	25499
71	1968	25370
72	1993	25317
73	2013	25190
74	2033	25083
75	2053	24962
76	2073	24850
77	2093	24747
78	2113	24642
79	2134	24544
80	2153	24436
81	2173	24332
82	2193	24231
83	2212	24126
84	2232	24029
85	2251	23929
86	2272	23846
87	2291	23750
88	2311	23659
89	2330	23568
90	2352	23502
91	2373	23428
92	2388	23290
93	2432	23445
94	2468	23514
95	2487	23427
96	2506	23337
97	2526	23249
98	2543	23152
99	2564	23076
100	2583	22998
101	2603	22917
102	2622	22842
103	2643	22772
104	2663	22699
105	2682	22624
106	2701	22549
107	2722	22482
108	2742	22414
109	2761	22340
110	2781	22273
111	2801	22210
112	2822	22152
113	2841	22084
114	2862	22026
115	2882	21966
116	2902	21903
117	2922	21843
118	2942	21782
119	2962	21727
120	2989	21716
121	3012	21682
122	3033	21627
123	3053	21574
124	3074	21518
125	3094	21462
126	3115	21412
127	3135	21358
128	3155	21304
129	3169	21210
130	3189	21157
131	3204	21070
132	3224	21021
133	3244	20969
134	3265	20922
135	3286	20878
136	3307	20833
137	3328	20791
138	3349	20745
139	3370	20703
140	3392	20666
141	3439	20784
142	3482	20872
143	3509	20862
144	3534	20840
145	3557	20809
146	3580	20777
147	3603	20744
148	3650	20849
149	3684	20878
150	3709	20858
151	3739	20862
152	3763	20836
153	3802	20886
154	3823	20845
155	3847	20813
156	3868	20771
157	3888	20723
158	3908	20673
159	3927	20619
160	3946	20568
161	3966	20517
162	3985	20467
163	4019	20489
164	4035	20420
165	4055	20373
166	4075	20327
167	4095	20282
168	4115	20238
169	4136	20195
170	4157	20154
171	4177	20107
172	4198	20070
173	4218	20027
174	4239	19985
175	4259	19941
176	4273	19872
177	4293	19827
178	4314	19786
179	4334	19745
180	4355	19705
181	4375	19666
182	4396	19626
183	4439	19687
184	4477	19723
185	4498	19686
186	4519	19647
187	4540	19611
188	4561	19573
189	4582	19535
190	4602	19493
191	4623	19455
192	4643	19414
193	4657	19350
194	4677	19310
195	4697	19267
196	4717	19227
197	4736	19186
198	4757	19148
199	4777	19110
200	4797	19070
201	4817	19031
202	4836	18990
203	4858	18957
204	4878	18920
205	4898	18879
206	4918	18842
207	4938	18803
208	4957	18764
209	4977	18726
210	5015	18756
211	5046	18757
212	5066	18718
213	5086	18680
214	5106	18644
215	5121	18588
216	5137	18538
217	5157	18500
218	5176	18461
219	5197	18425
220	5216	18389
221	5237	18353
222	5256	18315
223	5276	18278
224	5296	18244
225	5316	18207
226	5335	18169
227	5355	18133
228	5375	18098
229	5396	18065
230	5428	18070
